Probe Name,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29
TGFBI,85.75,84.48,75.75,27.74,70.9,101.9,39.49,62.92,79.14,70.55,87.44,82.29,96.31,35.96,43.33,54.7,89.06,43.36,67.08,167.57,28.46,20,150.13,163.61,55.11,241.59,196.99,183.93,108.46
TGFBR1,106.26,62.97,85.64,65.07,154.92,68.63,213.61,177.48,77.56,77.49,70.63,48.11,61.99,52.42,93.47,42.98,103.37,124.55,64.08,78.67,55.7,20,73.65,103.15,68.89,412.33,167.74,100.59,155.66
TGFBR2,209.72,170.49,176.21,140.81,281.84,205.88,339.26,163.5,161.45,174.63,115.47,117.74,121.77,112.76,125.03,113.31,171.76,150.38,143.17,163.09,112,20,141.63,227.63,106.78,311.59,291.62,206.92,282.34
THBS1,247.94,122.87,172.92,107.74,132.16,141.41,138.22,153.28,140.88,578.25,313.9,240.55,178.22,142.01,293.4,228.58,154.27,175.3,181.22,106.81,120.48,211.78,115.43,101.96,121.7,1148.2,752.7,390.86,419.78
THY1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.34,20,20,21.53
TICAM1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TIGIT,30.76,52.22,51.05,45.87,50.77,20,20,22.59,20,31.23,20,20,24.35,44.49,21.05,20,33.4,34.14,29.03,44.77,41.17,20,36.12,24.9,53.96,59.76,98.93,63.23,118.4
TIRAP,21.44,20,20,23.47,26.26,20,20,20,20,20,20,20,23.25,20,20,20,20,24.91,20.02,21.75,21.8,20,22.66,20,20,29.88,39.57,20,49.68
TLR1,109.06,145.91,135.04,64.01,312.47,268.27,290.8,185.01,191.53,195.45,88.56,43.05,66.42,41.45,125.65,109.41,170.17,124.55,104.12,116.4,32.69,20,86.4,207.48,50.52,413.18,147.1,152.32,131.65
TLR2,122.11,242.67,184.44,46.94,398.25,788.18,779.05,243.09,451.12,358.51,117.71,45.58,71.95,35.35,167.12,269.61,264,131.93,207.25,181.64,26.64,166.4,120.39,322.48,89.55,771.72,199.57,241.41,125.85
TLR3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TLR4,134.22,410.09,344.19,75.74,350.11,888,1283.46,118.86,438.46,412.87,151.34,97.49,130.62,31.69,142.37,279.38,446.9,100.56,334.4,264.78,41.17,20,254.94,684.09,86.11,501.96,216.78,304.64,181.33
TLR5,61.52,75.26,64.23,37.34,168.93,237.08,319.52,55.4,90.22,63.61,58.29,26.59,33.21,22.55,51.38,82.06,71.57,32.29,48.06,39.01,20,20,20,65.21,25.26,140.86,47.31,91.97,46.37
TLR6,92.28,127.48,138.33,73.61,274.83,301.54,561.85,127.46,131.38,193.13,72.87,46.84,54.24,26.21,79.23,58.61,136.77,78.42,68.08,100.41,26.64,20,43.91,224.08,48.22,468.67,114.41,183.93,170.56
TLR7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.09,20,20
TLR8,80.16,55.29,82.34,35.2,207.44,174.69,251.31,96.27,91.81,89.05,58.29,35.45,40.96,20,64.99,50.8,104.97,98.72,69.08,93.38,29.06,20,75.06,131.6,31,328.67,116.13,149.44,106.81
TLR9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.34,20,20,20
